Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2007,Final Fantasy XII: Revenant Wings,DS,36,711416,711416,Global,19761.5555555556
2007,Final Fantasy Tactics: The War of the Lions,PSP,34,667033,667033,Global,19618.6176470588
2017,LEGO Worlds,PS4,43,837986,837986,Global,19488.0465116279
2017,Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,51,982897,982897,Global,19272.4901960784
2012,MLB 12: The Show,PS3,43,820756,820756,Global,19087.3488372093
2018,Monster Hunter: World,XOne,49,927146,927146,Global,18921.3469387755
2012,Mario & Sonic at the London 2012 Olympic Games,3DS,47,848528,848528,Global,18053.7872340426
2015,Dragon Ball: Xenoverse,PS4,48,854417,854417,Global,17800.3541666667
2007,Diddy Kong Racing DS,DS,47,830115,830115,Global,17662.0212765957
2017,Mass Effect: Andromeda,XOne,41,723582,723582,Global,17648.3414634146
2015,Evolve,PS4,47,825203,825203,Global,17557.5106382979
2013,Dead Space 3,X360,48,832755,832755,Global,17349.0625
2016,LEGO Marvel's Avengers,PS4,49,849521,849521,Global,17337.1632653061
2017,For Honor,XOne,46,786168,786168,Global,17090.6086956522
2017,Fire Emblem Echoes: Shadows of Valentia,3DS,37,628995,628995,Global,16999.8648648649
2007,Professor Layton and the Curious Village,DS,46,780001,780001,Global,16956.5434782609
2016,Quantum Break,XOne,39,650985,650985,Global,16691.9230769231
2013,Dead Space 3,PS3,48,788832,788832,Global,16434
2007,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,43,693318,693318,Global,16123.6744186047
2007,Virtua Fighter 5,PS3,47,729914,729914,Global,15530.085106383
2007,World of Warcraft: The Burning Crusade,PC,50,775161,775161,Global,15503.22
2017,Super Bomberman R,NS,44,655029,655029,Global,14887.0227272727
2017,Resident Evil VII: Biohazard,XOne,49,727543,727543,Global,14847.8163265306
2017,Hitman (2016),PS4,48,624358,669628,Global,13950.5833333333
2018,Bayonetta 2,NS,46,573643,573643,Global,12470.5
